,Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
187,Samoa,"16,843",,31,,"1,605",,"15,207",,"187,397","202,239"
188,Marshall Islands,"16,138",,17,,"16,121",,0,,,"60,057"
189,Dominica,"16,027",,74,,"15,953",,0,,"229,344","72,344"
190,Djibouti,"15,690",,189,,"15,427",,74,,"305,941","1,016,097"
191,CAR,"15,368",,113,,"15,200",,55,2,"81,294","5,016,678"
192,Gambia,"12,626",,372,,"12,189",,65,,"155,686","2,558,482"
193,Saint Martin,"12,324",,63,,N/A,N/A,N/A,N/A,"112,382","39,730"
194,Vanuatu,"12,019",,14,,"11,976",,29,,"24,976","321,832"
195,Greenland,"11,971",,21,,"2,761",,"9,189",4,"164,926","56,973"
196,Yemen,"11,945",,"2,159",,"9,124",,662,N/A,"329,592","31,154,867"
197,Caribbean Netherlands,"11,682",,38,,"10,476",,"1,168",,"30,126","26,647"
198,Sint Maarten,"11,051",,92,,"10,905",,54,N/A,"62,056","43,966"
199,Eritrea,"10,189",,103,,"10,086",,0,,"23,693","3,662,244"
200,Niger,"9,931",,312,,"8,890",,729,1,"254,538","26,083,660"
201,St. Vincent Grenadines,"9,674",,124,,"9,493",,57,,"114,197","111,551"
202,Guinea-Bissau,"9,614",,177,,"8,929",,508,6,"145,231","2,063,367"
203,Comoros,"9,109",,161,,"8,939",,9,,,"907,419"
204,Antigua and Barbuda,"9,106",,146,,"8,954",,6,N/A,"18,901","99,509"
205,Liberia,"8,090",,295,,"7,783",,12,2,"139,824","5,305,117"
206,Sierra Leone,"7,766",,126,,N/A,N/A,N/A,,"259,958","8,306,436"
207,Chad,"7,701",,194,,"4,874",,"2,633",,"191,341","17,413,580"
208,British Virgin Islands,"7,392",,64,,N/A,N/A,N/A,,"107,339","30,596"
209,Cook Islands,"7,174",,2,,"7,150",,22,,"19,690","17,571"
210,Sao Tome and Principe,"6,738",+10,80,,"6,657",+51,1,,"29,473","227,679"
211,Turks and Caicos,"6,697",,40,,"6,633",,24,4,"615,226","39,741"
212,Saint Kitts and Nevis,"6,607",,48,,"6,559",,0,,"126,958","53,871"
213,Palau,"6,249",,9,,"6,239",,1,,"70,946","18,233"
214,St. Barth,"5,507",,6,,N/A,N/A,N/A,,"78,646","9,945"
215,Nauru,"5,393",,1,,"5,347",,45,,"20,509","10,903"
216,Kiribati,"5,085",,24,,"2,703",,"2,358",3,,"123,419"
217,Anguilla,"3,904",,12,,N/A,N/A,N/A,N/A,"51,382","15,230"
218,Wallis and Futuna,"3,550",,8,,438,,"3,104",,"20,508","10,982"
219,Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",,"25,400","5,759"
220,Tuvalu,"2,943",,1,,N/A,N/A,N/A,N/A,,"12,066"
